STRUCTURE TYPE,FLOOR,BASEMENT,DEWLLING UNIT,STRUCUTRE AGE,STRUCTURE 
Under Construction,10, , ,0-10,Miscellaneous
Pucca,2, ,8,21-30,Residential
Pucca,2, ,2,21-30,Residential
Pucca,5, ,10,21-30,Mixed Use
Pucca,5, ,8,11-20,Mixed Use
Pucca,5, ,5,11-20,Residential
Pucca,4, ,4,21-30,Residential
Pucca,6, ,20,11-20,Residential
Pucca,7, ,18,11-20,Residential
Pucca,5, ,10,21-30,Residential
Pucca,4, ,8,11-20,Mixed Use
Pucca,1, ,3,11-20,Mixed Use
Pucca,3, ,3,31-40,Residential
Pucca,3, ,3,11-20,Residential
Pucca,3, ,6,11-20,Residential
Pucca,4, ,4,11-20,Residential
Pucca,2, ,4,21-30,Residential
Pucca,2, ,2,31-40,Residential
Semi-Pucca,1, ,1,11-20,Mixed Use
Semi-Pucca,1, ,2,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Pucca,7, ,7,11-20,Residential
Semi-Pucca,1, ,1,11-20,Mixed Use
Semi-Pucca,1, , ,0-10,Transportation & Communication
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Pucca,2, ,6,0-10,Mixed Use
Semi-Pucca,1, ,3,11-20,Residential
Semi-Pucca,1, , ,11-20,Commercial
Semi-Pucca,1, ,1,11-20,Residential
Pucca,3, ,6,0-10,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Katcha,1, , ,11-20,Miscellaneous
Pucca,1, , ,11-20,Institutional
Pucca,2, ,2,11-20,Residential
Pucca,1, ,1,31-40,Residential
Pucca,1, ,2,11-20,Residential
Pucca,2, ,6,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,4, ,4,21-30,Residential
Pucca,1, ,2,11-20,Mixed Use
Semi-Pucca,1, ,2,11-20,Residential
Pucca,2, ,4,31-40,Residential
Pucca,4, ,8,11-20,Residential
Pucca,2, ,2,21-30,Mixed Use
Semi-Pucca,1, ,2,11-20,Residential
Semi-Pucca,1, , ,11-20,Commercial
Semi-Pucca,1, ,1,11-20,Residential
Pucca,6, ,10,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Pucca,3, ,3,11-20,Residential
Semi-Pucca,1, ,2,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Pucca,3, ,6,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, , ,11-20,Commercial
Semi-Pucca,1, ,1,11-20,Residential
Pucca,2, ,2,21-30,Mixed Use
Pucca,1, ,1,11-20,Residential
Pucca,2, ,4,21-30,Residential
Pucca,2, ,6,11-20,Mixed Use
Pucca,3, ,3,21-30,Mixed Use
Pucca,3, ,6,11-20,Mixed Use
Pucca,4, ,8,11-20,Mixed Use
Pucca,2, ,3,0-10,Residential
Semi-Pucca,1, ,2,11-20,Residential
Pucca,2, ,4,21-30,Residential
Semi-Pucca,1, ,2,21-30,Mixed Use
Semi-Pucca,1, ,3,11-20,Mixed Use
Pucca,3, ,6,31-40,Residential
Pucca,5, ,10,31-40,Residential
Pucca,4, ,4,21-30,Residential
Pucca,4, ,4,11-20,Residential
Pucca,3, ,6,11-20,Residential
Pucca,5, ,12,11-20,Residential
Pucca,6, ,24,11-20,Residential
Pucca,5, ,5,11-20,Mixed Use
Pucca,4, ,6,11-20,Residential
Pucca,6, ,12,11-20,Mixed Use
Pucca,10, ,30,11-20,Residential
Pucca,5, ,5,11-20,Residential
Pucca,2, ,4,11-20,Residential
Pucca,7, ,21,11-20,Residential
Pucca,6, ,18,11-20,Residential
Pucca,8, ,16,21-30,Residential
Pucca,6, ,18,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, , ,11-20,Commercial
Semi-Pucca,1, ,1,11-20,Residential
Pucca,2, ,4,11-20,Residential
Semi-Pucca,1, ,1,21-30,Residential
